beta,meta,count,%
0.0,0.0,4,0.94
0.0,1.0,2,0.47
0.0,2.0,8,1.88
0.0,3.0,23,5.41
0.0,4.0,265,62.35
1.0,3.0,1,0.24
1.0,4.0,5,1.18
2.0,3.0,2,0.47
2.0,4.0,6,1.41
3.0,4.0,3,0.71
4.0,1.0,1,0.24
4.0,4.0,10,2.35
5.0,1.0,1,0.24
5.0,4.0,1,0.24
6.0,4.0,3,0.71
7.0,4.0,1,0.24
8.0,0.0,35,8.24
8.0,1.0,13,3.06
8.0,2.0,6,1.41
8.0,3.0,2,0.47
8.0,4.0,33,7.76
